amfi_code,1Y CAGR (%),3Y CAGR (%),5Y CAGR (%)
100016,-2.23,1.29,
100025,3.71,3.92,
100033,53.28,32.43,
101206,47.96,28.96,
101207,-24.0,-4.15,
101208,7.24,6.31,
102885,20.22,19.66,
102886,-16.81,-0.77,
102887,13.59,25.55,
118632,34.01,22.65,
118633,25.56,21.08,
118634,15.82,8.01,
118635,22.51,20.0,
118636,10.46,4.06,
119092,1.61,0.53,
119093,19.78,20.81,
119094,22.28,35.1,
119095,-42.82,-11.7,
119120,5.53,5.84,
119551,60.49,30.45,
119552,5.71,16.26,
119598,82.85,26.66,
119599,13.96,-1.34,
120503,8.5,13.97,
120504,13.07,32.48,
120505,29.63,31.77,
120506,41.85,18.42,
120507,7.43,7.39,
120841,16.85,17.26,
120842,22.52,7.75,
120843,26.68,29.58,
120844,7.13,6.69,
125497,28.7,18.43,
125498,15.46,11.24,
148567,20.38,33.99,
148568,14.28,14.74,
148569,39.78,29.17,
149322,18.12,18.04,
149323,21.5,26.86,
149324,65.2,26.99,
